experiment_id,network,embedding_model,category,prompt_or_pair,ftle,r_squared,num_pairs,num_timesteps
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Moondream,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a campfire,0.002696935967581658,0.5575616112636963,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Moondream,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a fire,0.0026299659290658075,0.6374618127643736,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Moondream,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting next to a campfire,0.0031492221591042173,0.6318435844497714,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Moondream,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting by a fire,0.002345311337954296,0.4850980491194762,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Moondream,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting next to a campfire,0.0024328471898759025,0.5292107405132209,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Moondream,Qwen3Embed,paraphrase,a penguin sitting by a fire || a penguin sitting next to a campfire,0.002466112966309301,0.4946322463878523,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Pixtral,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting beside a campfire,0.005791891639528748,0.7913276715954025,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Pixtral,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a campfire,0.005261975311239714,0.5657758502572239,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Pixtral,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a fire,0.004313051189269156,0.6344370518480817,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Pixtral,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting next to a campfire,0.004216286133514208,0.7005998586916762,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Pixtral,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a campfire,0.005934743617422652,0.6696635960948001,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Pixtral,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a fire,0.005149669058296256,0.7453141592210965,64,100
